doremus_uri,dbpedia_uri,score_label,score_birth,score_death,score_category,score
http://data.doremus.org/artist/2f7fc858-1fc0-3f39-8d06-684f4912ce01,http://dbpedia.org/resource/Franz_Xaver_Wolfgang_Mozart,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/136888f4-906f-3eb9-acbf-517492eebfa7,http://dbpedia.org/resource/John_Blackwood_McEwen,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/2b3c98c5-ab63-3221-8486-f21c681d2d6c,http://dbpedia.org/resource/Giacomo_Tritto,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/a2d17b4f-a711-3219-9e66-76766970138a,http://dbpedia.org/resource/Franz_Lehár,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/16572312-9088-350c-bf4d-97e6d857df51,http://dbpedia.org/resource/Giuseppe_Sinopoli,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/c51a1b01-5682-33da-a15a-67d7f36c8308,http://dbpedia.org/resource/Heitor_Villa-Lobos,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/bdde210c-17df-3c15-8e89-5ed2a8992752,http://dbpedia.org/resource/Hamilton_Harty,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/e20f3055-68ec-3f7d-a1e7-8fd0447e2c90,http://dbpedia.org/resource/Witold_Lutosławski,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/277773ae-0296-3fd1-9fa5-171f93654a42,http://dbpedia.org/resource/Emerson_Whithorne,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/087d9495-5352-3292-9d91-721b87c8b140,http://dbpedia.org/resource/Edmund_Eysler,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/b8884a79-c018-3ac6-87ba-eb463130016f,http://dbpedia.org/resource/Gottfried_Heinrich_Stölzel,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/e3b7dd45-5dca-3c97-8439-9e627ab7b0d7,http://dbpedia.org/resource/Vladimir_Tsybin,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/6af0e932-6a6d-3577-96e9-955181bf4606,http://dbpedia.org/resource/Heinrich_Baermann,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/4d328f2c-4468-3f47-814d-c6e73c476a16,http://dbpedia.org/resource/Johann_Kuhnau,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/873ebd08-e3b8-335f-b9b2-6f9aac9fbecd,http://dbpedia.org/resource/Aldo_Clementi,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/269cec9d-5025-3a8a-b2ef-4f7acb088f2b,http://dbpedia.org/resource/Johann_Sebastian_Bach,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/b2360e86-1c01-322d-a9a0-ffff6dfff68d,http://dbpedia.org/resource/Johann_Christian_Bach,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/109f9796-bcbe-38c5-b6d8-25062a6139bc,http://dbpedia.org/resource/Niels_Viggo_Bentzon,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/848d9fd2-3d79-3931-a450-320d0578a72d,http://dbpedia.org/resource/Karl_Doppler,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/abc5337c-4c3e-3f67-9091-a841e4b8f743,http://dbpedia.org/resource/Benjamin_Franklin_White,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/451182f6-341b-32ff-bcc1-6594a92e9df2,http://dbpedia.org/resource/Franz_Doppler,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/509a3dfb-dc53-32e6-a8c6-67ece223e029,http://dbpedia.org/resource/François-Joseph_Gossec,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/fbfc478d-4cdf-33aa-b558-f3067783a579,http://dbpedia.org/resource/Marek_Stachowski,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/007d46b9-235e-30cd-89e0-8aa9fa6fda6c,http://dbpedia.org/resource/Castil-Blaze,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/4a5a10cc-86a3-30d3-b422-b171066315ee,http://dbpedia.org/resource/Georg_Christoph_Wagenseil,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/5af6fb8b-ca07-36e7-b7b5-5d09da6f250c,http://dbpedia.org/resource/Wilhelm_Kienzl,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/9a8e43af-f927-3e6a-8aed-7f17806647e5,http://dbpedia.org/resource/Henry_Schradieck,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/6e24c22e-b595-39aa-b4dc-79519d72c99f,http://dbpedia.org/resource/Johann_Joseph_Fux,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/10ccda23-838c-3de3-b7de-69c5692acd7b,http://dbpedia.org/resource/Pietro_Nardini,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/4a7db509-c67c-35c1-932a-050b841a931f,http://dbpedia.org/resource/Alexander_Reinagle,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/f247a862-aec7-3971-865d-49fb88a94fb4,http://dbpedia.org/resource/Karel_Kovařovic,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/229c9b10-f6b9-34f3-b96c-6538f6969c8b,http://dbpedia.org/resource/Ferdinand_Laub,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/1d47ba62-734f-38bb-8f09-28cb30d709d3,http://dbpedia.org/resource/Marvin_Hamlisch,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/d68a2a11-10bf-3283-8a66-61e0690ad0ea,http://dbpedia.org/resource/Carl_Baermann,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/91afbe9a-dd23-3be1-8a64-8ff94b30ceb5,http://dbpedia.org/resource/Henri-Joseph_Rigel,1.0,1.0,1.0,1.0,1.0
http://data.doremus.org/artist/854a7fe3-36f7-31e2-93e1-dae0fa116087,http://dbpedia.org/resource/Georges_Moustaki,1.0,1.0,1.0,1.0,1.0
